id,app_label,model
1,wagtailcore,page
2,wagtailimages,image
3,wagtailadmin,admin
4,wagtailcore,groupapprovaltask
5,wagtaildocs,document
6,website,webpage
7,website,articleindexpage
8,website,formpage
9,website,formpagefield
10,website,formconfirmemail
11,website,articlepage
12,coderedcms,adasettings
13,coderedcms,analyticssettings
14,coderedcms,carousel
15,coderedcms,carouselslide
16,coderedcms,coderedpage
17,coderedcms,footer
18,coderedcms,generalsettings
19,coderedcms,layoutsettings
20,coderedcms,navbar
21,coderedcms,socialmediasettings
22,coderedcms,contentwall
23,coderedcms,reusablecontent
24,coderedcms,googleapisettings
25,coderedcms,coderedtag
26,coderedcms,mailchimpapisettings
27,coderedcms,classifier
28,coderedcms,classifierterm
29,coderedcms,coderedsubmissionrevision
30,coderedcms,coderedsessionformsubmission
31,taggit,tag
32,taggit,taggeditem
33,wagtailseo,seosettings
34,wagtailforms,formsubmission
35,wagtailredirects,redirect
36,wagtailembeds,embed
37,wagtailusers,userprofile
38,wagtaildocs,uploadeddocument
39,wagtailimages,rendition
40,wagtailimages,uploadedimage
41,wagtailsearch,query
42,wagtailsearch,querydailyhits
43,wagtailcore,grouppagepermission
44,wagtailcore,pagerevision
45,wagtailcore,pageviewrestriction
46,wagtailcore,site
47,wagtailcore,collection
48,wagtailcore,groupcollectionpermission
49,wagtailcore,collectionviewrestriction
50,wagtailcore,task
51,wagtailcore,taskstate
52,wagtailcore,workflow
53,wagtailcore,workflowstate
54,wagtailcore,workflowpage
55,wagtailcore,workflowtask
56,wagtailcore,pagelogentry
57,wagtailcore,locale
58,wagtailcore,comment
59,wagtailcore,commentreply
60,wagtailcore,pagesubscription
61,admin,logentry
62,auth,permission
63,auth,group
64,auth,user
65,contenttypes,contenttype
66,sessions,session
